iter	Passed	Remaining
917	7672	685
918	7697	678
919	7715	670
920	7730	663
921	7742	654
922	7757	647
923	7778	639
924	7790	631
925	7798	623
926	7805	614
927	7812	606
928	7833	598
929	7839	590
930	7850	581
931	7874	574
932	7884	566
933	7893	557
934	7910	549
935	7922	541
936	7936	533
937	7939	524
938	7949	516
939	7960	508
940	7969	499
941	7979	491
942	7995	483
943	8003	474
944	8010	466
945	8015	457
946	8018	448
947	8028	440
948	8036	431
949	8042	423
950	8048	414
951	8062	406
952	8070	398
953	8074	389
954	8081	380
955	8087	372
956	8096	363
957	8108	355
958	8118	347
959	8139	339
960	8153	330
961	8157	322
962	8168	313
963	8171	305
964	8177	296
965	8179	287
966	8183	279
967	8187	270
968	8199	262
969	8206	253
970	8217	245
971	8233	237
972	8245	228
973	8254	220
974	8265	211
975	8280	203
976	8288	195
977	8294	186
978	8303	178
979	8322	169
980	8326	161
981	8328	152
982	8332	144
983	8340	135
984	8344	127
985	8356	118
986	8363	110
987	8366	101
988	8369	93
989	8372	84
990	8374	76
991	8377	67
992	8384	59
993	8392	50
994	8399	42
995	8410	33
996	8423	25
997	8451	16
998	8456	8
999	8459	0
